Title,Director,Cast,Year,Genre
balika badhu a.k.a. baby bride,P. T. Shaida (Tulsidutt Shaida),shaida pandit ali miss tarak bagcha tulsidutt,1920,social
daksha yagna a.k.a. sati parvati,Vishnupant Divekar,prabha khalil vaidya,1920,mythology
jalandhar vrinda a.k.a. sati tulsi vrinda,G. V. Sane,unknown,1920,mythology
kansa vadha a.k.a. end of the tyrant king,G. V. Sane,unknown,1920,mythology
katorabhar khoon a.k.a.the stinger stung a.k.a. zaheri saanp,S. N. Patankar,koregaonkar gokhale vyas trymbakrao pradhan tara k baba g,1920,social
krishna sudama a.k.a. shri krishna sudama,Vishnupant Divekar,sakina ali moti prabha khalil kesarbai miya vaidya,1920,mythology
lava kusha,R. Nataraja Mudaliar,unknown,1920,mythology
mahabharata,Rustomji Dhotiwala,unknown,1920,unknown
mrichhakatik,Suchet Singh,kanjibhai rathod,1920,unknown
narasinha avtar,Shree Nath Patankar,unknown,1920,mythology
narsinh mehta,"Suchet Singh, Shukle",kanjibhai rathod,1920,devotional
ram janma,G. V. Sane,unknown,1920,mythology
rama or maya,"Suchet Singh, Shukle",dorothy goharjaan rathod samson kanjbhai kingdon,1920,mythology
sairandhri,Baburao Painter,ganpatrao balasabeb dhaiber yadav baburao pawar keshavrao ansuyabai bhaskar bakre ravi gulabbai pendharkar kamaladevi zunzharrao,1920,mythology
shakuntala,Suchet Singh,dorothy sutria mr goharjaan samson kingdon,1920,mythology
shakuntala,Shree Nath Patankar,unknown,1920,mythology drama
shri krishna leela,G. V. Sane,unknown,1920,mythology
shri rama janma,G. V. Sane,unknown,1920,mythology
sita swayamwar a.k.a. sita's marriage,Shree Nath Patankar,limaye,1920,mythology
the enchanted pills a.k.a. vichitra gutika,S. N. Patankar,damuanna dighe marathe joshi gokhale trymbakrao pradhan k sitarampant g,1920,social
vikram urvashi,Kanjibhai Rathod,n lina r vaidya valentine,1920,mythology
behula,C. Legrand,cooper patience,1921,mythology
belgian emperor's visit to india,Nitin Bose,unknown,1921,documentary
bhakta vidur,Kanjibhai Rathod,master sakina sampat maneklal homi gangaram prabhashankar patel dwarkadas,1921,devotional
bilet pherat a.k.a. england returned,Dhirendranath Ganguly,dhirendranath chakraborty sushilabala kunjalal ganguly manmatha pal,1921,social comedy
chandrahasa,Kanjibhai Rathod,moti savita khalil tara dhanji,1921,devotional
dabbur kelenkari,Debi Ghosh,datta chani,1921,unknown
dhruva charitra a.k.a. the story of dhruva,Jyotish Bannerjee,james manilal cooper signor aga mannelli kusumkumari p mcgrath master madan patience dadabhai kashmiri pestonji sarkari mohan hashr signorina m f,1921,mythology
king gopichand a.k.a. gopichand,Vishnupant Divekar,mama koregaonkar hira bhatt,1921,legend
govardhan dhari,G. V. Sane,unknown,1921,mythology
jagat janani jagadamba a.k.a. ma durga a.k.a. mother durga,Jyotish Bannerjee,unknown,1921,mythology
krishna kumar a.k.a. pradyumna,Vishnupant Divekar,unknown,1921,mythology
krishna maya,Kanjibhai Rathod,jamna,1921,mythology
mahasati ansuya a.k.a. sati ansuya a.k.a. birth of shri dattatreya,Kanjibhai Rathod,vaidya khalil sakina,1921,devotional
meerabai a.k.a. mira bai,Sisir Kumar Bhaduri,patience k cooper s bhaduri,1921,devotional
mohini,Sisir Kumar Bhaduri,patience k cooper s bhaduri,1921,devotional
nal damayanti,E. D. Liguoro,adajania d chhapgar patience k albertina liguoro cooper e sarkari,1921,mythology
pundalik,Ganpat Shinde,unknown,1921,devotional
pundalik,Kanjibhai Rathod,unknown,1921,devotional
ratnakar,S. N. Ray,dev sushila shosha debi mukhi chunilal,1921,mythology
rukmini haran,Kanjibhai Rathod,n sakina gangaram moti khalil tara r vaidya,1921,mythology
rukmini satyabhama a.k.a. rukmini kalyanam a.k.a. rukmani sathyabhama a.k.a. the wedding of rukmani ,R. Nataraja Mudaliar,unknown,1921,mythology
sant tukaram a.k.a. tukaram,Ganpat Shinde,unknown,1921,devotional
sati madalsa,S. N. Patankar,unknown,1921,mythology
sati sulochana,G. V. Sane,unknown,1921,mythology
salaam aleikum,Unknown,unknown,1921,social
shani prabhav,G. V. Sane,unknown,1921,mythology
shivratri,C. Legrand,prabodh kumari kusum bose,1921,mythology
subhadra haran,Kanjibhai Rathod,unknown,1921,mythology
surekha haran a.k.a. the elopement of surekha a.k.a. surekha abhimanyu,Baburao Painter,vishnupant gajrabai yadav ganpat baburao pagnis pawar ravji g r shantaram bakre mane v pendharkar balasaheb mhaskar zunzharrao,1921,mythology
themuras & tehmuljee a.k.a. aflatoon,Unknown,unknown,1921,social
tridandi sanyas,Vishnupant Divekar,soni anand shinde limaye,1921,mythology
urvashi,Vishnupant Divekar,koregaonkar limaye vithabai hira,1921,mythology
valli thirumanam a.k.a. valli's wedding,Whittaker,unknown,1921,mythology
valmiki,G. V. Sane,unknown,1921,mythology
vikram satva pariksha,G. V. Sane,unknown,1921,mythology
vishwamitra menaka,Kanjibhai Rathod,ali raja jamna kesar miyan babu,1921,mythology
vishnu avatar a.k.a. the incarnations of lord vishnu,"Jyotish Bannerjee, C. Legrand",cooper patience,1921,mythology
yashoda nandan a.k.a. yashoda's son a.k.a. shri radha krishna,"Dhirendranath Ganguly, Nitish Lahiri",dhirendranath chakraborty pramodasundari dasi sushiladevi lahiri nitish amodini kunjalal ganguly manmatha pal,1921,mythology
ahiravan mahiravan vadha,G. V. Sane,bhaurao datar shanta pawar nalgunde sane singh bachu ghanshyam,1922,mythology
ajamil,Kanjibhai Rathod,master homi gangaram jamna khalil,1922,devotional
andhare alo a.k.a. the influence of love,"Naresh Mitra, Sisir Kumar Bhaduri",sisir lila choudhury naresh jogesh kumar mitra kankabati debi rani bhaduri durga,1922,social drama
ashoka a.k.a. samrat ashoka,Unknown,unknown,1922,historical
bhakta ambarish,Kanjibhai Rathod,n khalil tara r vaidya,1922,devotional
bhakta shiromani a.k.a. rajrishi ambarish a.k.a. bhakta shiromani,Dadasaheb Phalke,unknown,1922,devotional
bhartrahari a.k.a. king bhartrahari,S. N. Patankar,tara koregaonkar thatte,1922,legend
bhishma,Jyotish Bannerjee,adjania mohan master keki,1922,mythology
bhishma bana shayya,Unknown,madanrai vakil,1922,mythology
bhishma pratigna,R. S. Prakash,unknown,1922,mythology
bidyasundar a.k.a. the lover's trance,Sundar Narayan Ray,durgarani,1922,legend
bimata a.k.a. bijoy basant a.k.a. stepmother,Dhirendranath Ganguly,dhirendranath miss billy devi ganguly joy seeta,1922,social
bisha briksha a.k.a. bishabriksha a.k.a. poison tree,Jyotish Bannerjee,gopalchandra lila durgadas bhattacharya bannerjee miss basantakumari manoranjan debi kartik dey light,1922,social drama
bodana a.k.a. bhakta bodhana a.k.a. shri ranchhodrai,S. N. Patankar,sandow raja,1922,devotional legend
damaji a.k.a. bhakta damaji a.k.a. bhagwata bhakta damaji,Baburao Painter,n ganpat d baburao pawar haskar ravji sushilabai bakre gulabbai sarpotdar pendharkar m zunzharrao,1922,devotional
devi todi,Kanjibhai Rathod,jamna,1922,devotional
doom of the yadavas a.k.a. yadav vinas,Unknown,unknown,1922,mythology
draupadi swayamwar,Vishnupant Divekar,kamala,1922,mythology
draupadi veni bandhan a.k.a. the fall of the kauravas a.k.a. veni bandhan,Vishnupant Divekar,n soni damle s patankar,1922,mythology
gangavataran a.k.a. bhagirathi ganga,Unknown,dadibhai cooper sarkari patience,1922,mythology
hara gouri a.k.a. lord shiva and parvati,Dhirendranath Ganguly,unknown,1922,religious
hari talika,G. V. Sane,bhaurao datar,1922,mythology
indrajit a.k.a. indrajit o lady teacher,Dhirendranath Ganguly,ganguly dhirendranath devi seeta,1922,social
jadunath,S. N. Patankar,koregaonkar gokhale trimbakrao vyas pradhan tara k baba kelkar g,1922,legend
kalidas,S. N. Patankar,vyas tara koregaonkar baba,1922,devotional biopic
karna a.k.a. deserted son of kunti,S. N. Patankar,sandow raja,1922,mythology
lady teacher,Dhirendranath Ganguly,unknown,1922,comedy
laila majnu,J. J. Madan,h patience waring miss sherwin jeanetta cooper w dot foy,1922,legend romantic
mahashweta kadambari a.k.a. shap sambhram,S. N. Patankar,n koregaonkar vyas tara thatte baba s patankar,1922,mythology
malati madhav,Kanjibhai Rathod,n gangaram moti miss khalil tara r vaidya,1922,mythology
