Title,Director,Cast,Year,Genre,combo
biwi-o-biwi: the fun-film,Randhir Kapoor,kapoor randhir kumar dhillon sanjeev poonam,1981,comedy,unknown
chashme buddoor,Sai Paranjpye,deepti bedi rakesh naval shaikh baswani ravi farooq,1981,drama,
chehre pe chehra,Raj Tilak,vinod mehra pandit rekha sulakshana kumar sanjeev,1981,thriller,
daasi,Raj Khosla,moushumi rakesh rekha kumar chatterjee sanjeev roshan,1981,drama,
dahshat,"Shyam Ramsay, Tulsi Ramsay",shivpuri nadira babbar nischol sarika navin om,1981,horror,
dard,Unknown,hema malini rajesh khanna,1981,unknown,
dhanwan,Unknown,rakesh rajesh khanna reena roshan roy,1981,unknown,
dhuaan,Dulal Guha,chakraborty raakhee khan amjad ranjeeta mithun,1981,unknown,
ek aur ek gyarah,Ashok Roy,shashi zarina kapoor vinod khanna wahab singh neetu,1981,comedy,
ek hi bhool,T. Rama Rao,rekha jeetendra,1981,family drama,
fiffty fiffty,Somu Mukherjee,khan kader munim tina rajesh khanna,1981,unknown,
ganga maang rahi balidan,Radhakant,dev hina kumar sohrab modi kausar,1981,drama,
gehra zakhm,Deepak Bahry,vinod ranjeeta mehra kaur,1981,romance,
ghamandee,Ramesh Bedi,chakraborthy sarika mithun,1981,action,
ghungroo ki awaaz,"Shyam Ramsay, Tulsi Ramsay",rekha anand vijay,1981,drama,
gramayan,Arun Khopkar,tushar parzun amin dalvi gazi dastur,1981,unknown,
guru suleman chela pahelwan,Radhakant,mehmood dara khanna padma singh,1981,comedy,
harjaee,Unknown,kapoor randhir munim tina shammi,1981,unknown,
hotel,Unknown,rakesh nischol goswami bindiya roshan navin,1981,mystery,
hum se badkar kaun,Deepak Bahry,khan chakraborty danny kiran iyer amjad ranjeet ranjeeta denzongpa vijendra kalpana kajal mithun,1981,unknown,
itni si baat,Unknown,chatterjee sanjeev kumar moushmi,1981,unknown,
jail yatra,Unknown,vinod reena roy khanna,1981,unknown,
jeene ki arzoo,Rajashekar,chakraborthy rakesh agnihotri roshan rati mithun,1981,romance,
jiyo to aise jiyo,Unknown,chakraborty madan puri ranjeeta rameshwari mithun,1981,unknown,
josh,Unknown,sinha khan vidya amjad,1981,unknown,
jwala daku,R. P. Swamy,urmila birbal bhatt salma agha,1981,drama,
jyoti,Unknown,ghatge vijendara malini jeetendra kumar hema ashok,1981,unknown,
kaalia,Tinnu Anand,khan asha n parekh kader bachchan amjad pran k singh amitabh parveen babi,1981,action,
kaaran,B. R. Ishara,shoma deo anand ramesh aruna irani,1981,romance,
kachche heere,Narendra Bedi,khan danny reena feroz denzongpa roy,1981,action,
kahan kahan se guzar gaya,M. S. Sathyu,kapoor khan kapur anil farah pankaj,1981,drama,
kahani ek chor ki,S. Ramanathan,moushumi vinod mehra jeetendra chatterjee roy nirupa,1981,drama,
kal hamara hai,Girish Ranjan,hangal bhattacharya a khanna k padma asrani aarti,1981,drama,
kalyug,Shyam Benegal,shashi kapoor babbar rekha raj,1981,drama,
kanhaiyaa,Khalid Sami,asha master chandra amit chaitanya,1981,crime action drama,
kanoon aur mujrim,Unknown,t padma jayshree khanna,1981,unknown,
katilon ke kaatil,"Anil Hingorani, Arjun Hingorani",kapoor khan amjad munim nirupa tina shakti rishi dharmendra zeenat roy aman,1981,romance,
khara khota,B.R. Ishara,unknown,1981,unknown,
khatta meetha,Unknown,rakesh goswami kumar bindiya roshan ashok,1981,family drama comedy,
khawaja ki diwani,Unknown,bharat khan choudhary mazhar bhushan arpana,1981,unknown,
khel muqaddar ka,Veerendra,bharat asha dara parekh bhushan singh,1981,family action,
khilte suman,Sukhdev Ahluwalia,unknown,1981,unknown,
khoon aur paani,Unknown,khan feroz jeetendra,1981,unknown,
khoon ka rishta,Samir Ganguly,prashanth jeetendra pran jagdeep mukri,1981,unknown,
khoon ki takkar,Unknown,vinod mehra neeta ranjeet ranjeeta mehta kaur,1981,unknown,
khuda kasam,Unknown,vinod munim tina pran khanna,1981,unknown,
kranti,Manoj Kumar,shashi kapoor malini prem shatrughan manoj tom sinha parveen kumar dilip alter chopra hema babi roy nirupa,1981,patriotic action,
krodhi,Subhash Ghai,shashi kapoor malini sachin premnath pran dhillon poonam hema dharmendra zeenat aman,1981,unknown,
kudrat,Chetan Anand,vinod malini rajhans rajesh khanna kumar raaj hema priya,1981,unknown,
laawaris,Prakash Mehra,khan raakhee lagoo amjad ranjeet bachchan shriram priti suresh amitabh oberoi gulzar jeevan sapru zeenat aman,1981,unknown,
ladaaku,Unknown,kapoor khan amjad jagdeep vijay shakti arora,1981,unknown,
ladies tailor,Unknown,kumar pran reena sanjeev roy,1981,unknown,
laparwah,Ravikant Nagaich,prem chakraborty bedi birbal mithun,1981,unknown,
love story,Rajendra Kumar,gaurav rajendra danny khan amjad pandit vijeta kumar denzongpa,1981,romance,
maan gaye ustaad,Unknown,pran,1981,unknown,
madhuman,Unknown,unknown,1981,unknown,
mahabali hanuman,Unknown,unknown,1981,unknown,
mahfil,Unknown,unknown,1981,unknown,
main aur mera haathi,Unknown,unknown,1981,unknown,
mangalsutra,Unknown,rekha,1981,unknown,
meena kumari ki amar kahani,Unknown,unknown,1981,unknown,
meri aawaz suno,S. V. Rajendra Singh,malini jeetendra parveen hema babi,1981,action,
nai imarat,Unknown,unknown,1981,unknown,
nakhuda,Unknown,kiran kulbhushan swaroop kharbanda sampat raj,1981,unknown,
naram garam,Hrishikesh Mukherjee,swaroop hangal shatrughan palekar kiran sinha sampat amol a dutt utpal k vairahle,1981,comedy,
nari,Unknown,unknown,1981,unknown,
naseeb,Manmohan Desai,khan shatrughan pran hema yusuf kapoor prem amrish bachchan chopra yashpal kader kim amitabh roy malini amjad sinha puri reena shakti rishi,1981,romance action comedy,
paanch qaidi,Unknown,unknown,1981,unknown,
pehla adhyay,Unknown,unknown,1981,unknown,
plot no. 5,Unknown,unknown,1981,unknown,
poonam,Unknown,kapoor babbar dhillon shakti raj poonam,1981,unknown,
prem geet,Unknown,babbar raj anita,1981,unknown,
professor pyarelal,Unknown,vinod mehra dharmendra zeenat aman,1981,unknown,
pyaasa sawan,Unknown,moushumi jeetendra reena chatterjee roy,1981,unknown,
raaz,Harmesh Malhotra,babbar raj helen,1981,drama,
roohi,Unknown,unknown,1981,unknown,
rocky,Sunil Dutt,kapoor khan ranjeet munim amjad tina grover dutt reena sunil sanjay shakti gulshan roy,1981,unknown,
saajan ki saheli,Sawaan Kumar,vinod rajendra mehra rekha kumar nutan,1981,unknown,
sadgati,Satyajit Ray,puri smita patil om,1981,drama,
sahhas,Unknown,chakraborty mithun,1981,unknown,
sameera,Unknown,unknown,1981,unknown,
sannata,Unknown,unknown,1981,unknown,
sansani: the sensation,Unknown,unknown,1981,unknown,
shakka,Unknown,pinchoo kapoor simple jeetendra kapadia,1981,unknown,
shama,Kader Khan,shabana kader khan azmi,1981,unknown,
sharada,Unknown,rameshwari jeetendra,1981,unknown,
shikari,Unknown,unknown,1981,unknown,
shradhanjali,Unknown,raakhee arun govil suresh oberoi gulzar,1981,unknown,
silsila,Yash Chopra,shashi kapoor jaya rekha bachchan kumar sanjeev amitabh,1981,drama romantic,
tajurba,Unknown,unknown,1981,unknown,
umrao jaan,Muzaffar Ali,shah rekha sheikh naseeruddin farooque,1981,drama,
"vasiqedars, the pensioners of avadh",Unknown,unknown,1981,unknown,
waqt ki deewar,Unknown,pran,1981,unknown,
wardat,Ravikant Nagaich,chakraborty kiran kaajal iftekhar mithun,1981,thriller,
woh phir nahin aaye,Unknown,unknown,1981,unknown,
yaraana,Rakesh Kumar,khan amjad kader bachchan amitabh singh neetu,1981,drama,
yeh rishta na tootay,Unknown,unknown,1981,unknown,
zamane ko dikhana hai,Nasir Hussain,kapoor khan padmini amjad kader kolhapure tariq rishi,1981,unknown,
aadat se majboor,Irfan Malik,khan nadeen naaz irfan falak malik sromona aldah,1982,family crime action drama,
hyatt,Irfan Malik,khan yadav naaz neeraj irfan mr falak malik nadeem sromona aldah vasai,1982,comedy,
aadharshila,Ashok Ahuja,anita annu kapoor kanwar kapur pankaj,1982,unknown,
aagaman,Muzaffar Ali,anupam deepa suresh rani oberoi kher,1982,drama,
aamne samne,Ashim S. Samanta,chakraborty tarun ghosh geeta aarti mithun,1982,action,
afsana do dilon ka,K.S. Sethumadhavan,hassan vidhubala shobha kamal,1982,unknown,
angoor,Gulzar,moushumi verma kumar chatterjee sanjeev deven,1982,comedy,
anmol sitaare,Geeta Priya,bedi master rakesh deo ramesh baboo,1982,drama,
anokha bandhan,Mehul Kumar,seema deo shabana azmi aruna irani,1982,drama,
aparoopa,Jahnu Barua,gopi jagdeep karnad girish desai,1982,unknown,
apmaan,Ami Asthana,ami chatwal suresh irani manik asthana,1982,drama,
apna bana lo,J. Om Prakash,kapoor rekha jeetendra shakti,1982,family drama,
apradhi kaun,Mohan Bhakri,khan rajni choudhary javed sharma arpana,1982,thriller,
arth,Mahesh Bhatt,shabana smita patil azmi,1982,drama,
ashanti,Umesh Mehra,chakraborty shabana aman rajesh khanna azmi parveen babi zeenat mithun,1982,crime adventure action,
ayaash,Shakti Samanta,arun govil kumar sanjeev agnihotri rati,1982,romance,
baawri,A. C. Tirulokchandar,lagoo jayapradha yogeeta shreeram bali,1982,family,
bachche teen aur daku chhe,Govind Saraiya,unknown,1982,unknown,
badle ki aag,Raj Kumar Kohli,dutt sunil dharmendra jeetendra,1982,action,
baghavat,Ramanand Sagar,malini reena hema dharmendra roy,1982,action romance,
barrister,Salil M. Ghosh,vinod mehra arun pandit govil sulakshana,1982,drama,
bazaar,Sagar Sarhadi,shah patil shaikh naseeruddin smita farooq,1982,family drama,
bemisal,Hrishikesh Mukherjee,vinod mehra bachchan amitabh gulzar rakhee,1982,family drama,
bezubaan,Bapu,shashi kapoor kiran reena raj roy,1982,drama romance,
bhai aakhir bhai hota hai,R.C Nanda,naaz kumari monty nath,1982,unknown,
bheegi palkein,Sisir Misra,patil babbar dina smita pathak raj,1982,romance,
chalti ka naam zindagi,Kishore Kumar,harindranath master chattopadhyay kishore kumar bhagwan rita bhaduri,1982,unknown,
chambal ke daku,Unknown,khan javed,1982,unknown,
chorni,Jyoti Sarup,lagoo jeetendra shreeram singh neetu,1982,family,
dard ka rishta,Sunil Dutt,patil dutt smita sunil reena roy,1982,drama,
daulat,Mohan Segal,vinod khan amjad khanna zeenat aman,1982,family crime action drama,
davedar,Unknown,unknown,1982,unknown,
deedar-e-yaar,Harnam Singh Rawail,kapoor rekha jeetendra rishi,1982,drama romance,
desh premee,Manmohan Desai,khan malini amjad bachchan parveen sharmila amitabh hema tagore babi,1982,action drama,
dharam kanta,Sultan Ahmed,waheeda pandit sulakshana jeetendra kumar khanna rajesh reena raaj rehman roy,1982,family action drama,
dial 100,S. Ramanathan,kumar ashok,1982,unknown,
dil hi dil mein,Desh Gautam,dhumal manju iftekhar bhatia,1982,unknown,
dil ka sathi dil,Unknown,wahab zarina hassan kamal,1982,unknown,
dil-e-nadaan,C.V. Sridhar,jayapradha shatrughan sinha rajesh khanna,1982,drama romance,
dil... akhir dil hai,Esmayeel Shroff,shah naseeruddin gulzar parveen rakhee babi,1982,drama,
disco dancer,Babbar Subhash,chakraborty kim yashpal mithun,1982,musical drama,
do dishayen,Dulal Guha,hema malini dharmendra,1982,unknown,
do guru,Ravi Tandon,shashi kapoor khanna padma singh neetu,1982,action,
do ustad,S.D. Narang,danny shatrughan sinha reena denzongpa roy,1982,unknown,
dulha bikta hai,Anwar Pasha,anita simple babbar kapadia raj,1982,family drama,
farz aur kanoon,K. Raghavendra Rao,malini kiran jeetendra agnihotri hema raj rati,1982,unknown,
ghazab,Dixit,seema krishan deo rekha dhawan dharmendra,1982,family drama,
gopichand jasoos,Naresh Kumar,kapoor i johar s raj zeenat aman,1982,comedy,
gumsum,Dayanand,madhu kapoor arun govil shakti,1982,drama,
haathkadi,Surendra Mohan,shatrughan sinha kumar reena sanjeev roy,1982,family drama thriller,
hamari bahu alka,Basu Chatterjee,rakesh goswami bindiya utpal dutt roshan,1982,unknown,
hearbeat,Biplab Roy Chowdhury,anita palekar amol dutt utpal kanwar,1982,drama,
insaan,Narendra Bedi,vinod jeetendra khanna reena roy,1982,family drama,
jaanwar,Ali Raza,pradeep rajesh khanna kumar pran zeenat aman,1982,action drama,
jawalaa dahej ki,Chaman Nillay,arun shoma govil anand sonia sahni,1982,unknown,
jeeo aur jeene do,Shyam Ralhan,danny jeetendra pran reena denzongpa roy,1982,unknown,
jeevan dhaara,Rama Rao Tatineni,palekar simple babbar rekha amol kapadia raj,1982,drama,
jivan rahasya,Bhimsain,unknown,1982,animation,
johny i love you,Rakesh Kumar,dutt agnihotri suresh sanjay oberoi rati,1982,action romance,
kaamchor,K. Vishwanath,roshan jayapradha tanuja rakesh,1982,family drama,
kanchan aur ganga,Mehul Kumar,kiran kumar,1982,unknown,
kanya dweep,Ramanna,jayshree t,1982,musical,
kasam durga ki,Unknown,rajni murad raza sharma khanna padma,1982,unknown,
khud-daar,Ravi Tandon,vinod mehra bachchan kumar sanjeev amitabh parveen babi,1982,drama,
khush naseeb,Unknown,vinod kolhapure mehra padmini,1982,unknown,
lakshmi,B.S. Thapa,ranjeet babbar reena raj roy,1982,drama,
lubna,Unknown,narayan singh prema kanwaljit,1982,unknown,
main intequam loonga,Rama Rao Tatineni,lagoo shreeram reena dharmendra roy,1982,unknown,
maine jeena seekh liya,Bhisham Kohli,rajni bala behl mohammad asif geeta,1982,drama romance,
maut ka saya,Tulsi Ramsay,ghatge dhawan behl anil geeta vijayendra,1982,drama,
meharbaani,"Ajit Singh Deol, A. Nairang",mahendra sandhu narendra sarika nath,1982,unknown,
mehndi rang layegi,Narayana Rao Dasari,anita rekha jeetendra raj,1982,family drama,
nadiya ke paar,Govind Moonis,bajaj mitali savita inder thakur,1982,family drama,
namak halaal,Prakash Mehra,shashi kapoor waheeda patil bachchan smita amitabh parveen babi rehman,1982,drama,
namkeen,Gulzar,waheeda shabana kumar azmi sanjeev sharmila tagore rehman,1982,drama,
nikaah,B. R. Chopra,babbar salma raj agha,1982,romance,
partner,Anil Tejani,deepti kapoor naval pran shakti,1982,unknown,
prem rog,Raj Kapoor,kapoor kolhapure padmini rishi,1982,drama,
pyaar ke rahi,Atma Ram,sarup padmini jyoti kapila kanwaljit singh,1982,unknown,
pyaar mein sauda nahin,Unknown,bedi kiran rakesh sharat saxena raj,1982,unknown,
pyara tarana,K. Balachander,inamdar shafi hassan asrani kamal,1982,unknown,
raakh aur chingari,Unknown,vinod mehra,1982,unknown,
raaste pyar ke,V.B. Rajendra Prasad,rekha azmi jeetendra shabana,1982,family drama,
