Title,Director,Cast,Year,Genre,combo
dard,Unknown,hema malini rajesh khanna,1981,unknown,hema malini rajesh khanna unknown
dhanwan,Unknown,rakesh rajesh khanna reena roshan roy,1981,unknown,rakesh rajesh khanna reena roshan roy unknown
dhuaan,Dulal Guha,chakraborty raakhee khan amjad ranjeeta mithun,1981,unknown,chakraborty raakhee khan amjad ranjeeta mithun unknown
ek aur ek gyarah,Ashok Roy,shashi zarina kapoor vinod khanna wahab singh neetu,1981,comedy,shashi zarina kapoor vinod khanna wahab singh neetu comedy
ek hi bhool,T. Rama Rao,rekha jeetendra,1981,family drama,rekha jeetendra family drama
fiffty fiffty,Somu Mukherjee,khan kader munim tina rajesh khanna,1981,unknown,khan kader munim tina rajesh khanna unknown
ganga maang rahi balidan,Radhakant,dev hina kumar sohrab modi kausar,1981,drama,dev hina kumar sohrab modi kausar drama
gehra zakhm,Deepak Bahry,vinod ranjeeta mehra kaur,1981,romance,vinod ranjeeta mehra kaur romance
ghamandee,Ramesh Bedi,chakraborthy sarika mithun,1981,action,chakraborthy sarika mithun action
ghungroo ki awaaz,"Shyam Ramsay, Tulsi Ramsay",rekha anand vijay,1981,drama,rekha anand vijay drama
gramayan,Arun Khopkar,tushar parzun amin dalvi gazi dastur,1981,unknown,tushar parzun amin dalvi gazi dastur unknown
guru suleman chela pahelwan,Radhakant,mehmood dara khanna padma singh,1981,comedy,mehmood dara khanna padma singh comedy
harjaee,Unknown,kapoor randhir munim tina shammi,1981,unknown,kapoor randhir munim tina shammi unknown
hotel,Unknown,rakesh nischol goswami bindiya roshan navin,1981,mystery,rakesh nischol goswami bindiya roshan navin mystery
hum se badkar kaun,Deepak Bahry,khan chakraborty danny kiran iyer amjad ranjeet ranjeeta denzongpa vijendra kalpana kajal mithun,1981,unknown,khan chakraborty danny kiran iyer amjad ranjeet ranjeeta denzongpa vijendra kalpana kajal mithun unknown
itni si baat,Unknown,chatterjee sanjeev kumar moushmi,1981,unknown,chatterjee sanjeev kumar moushmi unknown
jail yatra,Unknown,vinod reena roy khanna,1981,unknown,vinod reena roy khanna unknown
jeene ki arzoo,Rajashekar,chakraborthy rakesh agnihotri roshan rati mithun,1981,romance,chakraborthy rakesh agnihotri roshan rati mithun romance
jiyo to aise jiyo,Unknown,chakraborty madan puri ranjeeta rameshwari mithun,1981,unknown,chakraborty madan puri ranjeeta rameshwari mithun unknown
josh,Unknown,sinha khan vidya amjad,1981,unknown,sinha khan vidya amjad unknown
jwala daku,R. P. Swamy,urmila birbal bhatt salma agha,1981,drama,urmila birbal bhatt salma agha drama
jyoti,Unknown,ghatge vijendara malini jeetendra kumar hema ashok,1981,unknown,ghatge vijendara malini jeetendra kumar hema ashok unknown
kaalia,Tinnu Anand,khan asha n parekh kader bachchan amjad pran k singh amitabh parveen babi,1981,action,khan asha n parekh kader bachchan amjad pran k singh amitabh parveen babi action
kaaran,B. R. Ishara,shoma deo anand ramesh aruna irani,1981,romance,shoma deo anand ramesh aruna irani romance
kachche heere,Narendra Bedi,khan danny reena feroz denzongpa roy,1981,action,khan danny reena feroz denzongpa roy action
kahan kahan se guzar gaya,M. S. Sathyu,kapoor khan kapur anil farah pankaj,1981,drama,kapoor khan kapur anil farah pankaj drama
kahani ek chor ki,S. Ramanathan,moushumi vinod mehra jeetendra chatterjee roy nirupa,1981,drama,moushumi vinod mehra jeetendra chatterjee roy nirupa drama
kal hamara hai,Girish Ranjan,hangal bhattacharya a khanna k padma asrani aarti,1981,drama,hangal bhattacharya a khanna k padma asrani aarti drama
kalyug,Shyam Benegal,shashi kapoor babbar rekha raj,1981,drama,shashi kapoor babbar rekha raj drama
kanhaiyaa,Khalid Sami,asha master chandra amit chaitanya,1981,crime action drama,asha master chandra amit chaitanya crime action drama
kanoon aur mujrim,Unknown,t padma jayshree khanna,1981,unknown,t padma jayshree khanna unknown
katilon ke kaatil,"Anil Hingorani, Arjun Hingorani",kapoor khan amjad munim nirupa tina shakti rishi dharmendra zeenat roy aman,1981,romance,kapoor khan amjad munim nirupa tina shakti rishi dharmendra zeenat roy aman romance
khara khota,B.R. Ishara,unknown,1981,unknown,unknown unknown
khatta meetha,Unknown,rakesh goswami kumar bindiya roshan ashok,1981,family drama comedy,rakesh goswami kumar bindiya roshan ashok family drama comedy
khawaja ki diwani,Unknown,bharat khan choudhary mazhar bhushan arpana,1981,unknown,bharat khan choudhary mazhar bhushan arpana unknown
khel muqaddar ka,Veerendra,bharat asha dara parekh bhushan singh,1981,family action,bharat asha dara parekh bhushan singh family action
khilte suman,Sukhdev Ahluwalia,unknown,1981,unknown,unknown unknown
khoon aur paani,Unknown,khan feroz jeetendra,1981,unknown,khan feroz jeetendra unknown
khoon ka rishta,Samir Ganguly,prashanth jeetendra pran jagdeep mukri,1981,unknown,prashanth jeetendra pran jagdeep mukri unknown
khoon ki takkar,Unknown,vinod mehra neeta ranjeet ranjeeta mehta kaur,1981,unknown,vinod mehra neeta ranjeet ranjeeta mehta kaur unknown
khuda kasam,Unknown,vinod munim tina pran khanna,1981,unknown,vinod munim tina pran khanna unknown
kranti,Manoj Kumar,shashi kapoor malini prem shatrughan manoj tom sinha parveen kumar dilip alter chopra hema babi roy nirupa,1981,patriotic action,shashi kapoor malini prem shatrughan manoj tom sinha parveen kumar dilip alter chopra hema babi roy nirupa patriotic action
krodhi,Subhash Ghai,shashi kapoor malini sachin premnath pran dhillon poonam hema dharmendra zeenat aman,1981,unknown,shashi kapoor malini sachin premnath pran dhillon poonam hema dharmendra zeenat aman unknown
kudrat,Chetan Anand,vinod malini rajhans rajesh khanna kumar raaj hema priya,1981,unknown,vinod malini rajhans rajesh khanna kumar raaj hema priya unknown
laawaris,Prakash Mehra,khan raakhee lagoo amjad ranjeet bachchan shriram priti suresh amitabh oberoi gulzar jeevan sapru zeenat aman,1981,unknown,khan raakhee lagoo amjad ranjeet bachchan shriram priti suresh amitabh oberoi gulzar jeevan sapru zeenat aman unknown
ladaaku,Unknown,kapoor khan amjad jagdeep vijay shakti arora,1981,unknown,kapoor khan amjad jagdeep vijay shakti arora unknown
ladies tailor,Unknown,kumar pran reena sanjeev roy,1981,unknown,kumar pran reena sanjeev roy unknown
laparwah,Ravikant Nagaich,prem chakraborty bedi birbal mithun,1981,unknown,prem chakraborty bedi birbal mithun unknown
love story,Rajendra Kumar,gaurav rajendra danny khan amjad pandit vijeta kumar denzongpa,1981,romance,gaurav rajendra danny khan amjad pandit vijeta kumar denzongpa romance
maan gaye ustaad,Unknown,pran,1981,unknown,pran unknown
madhuman,Unknown,unknown,1981,unknown,unknown unknown
mahabali hanuman,Unknown,unknown,1981,unknown,unknown unknown
mahfil,Unknown,unknown,1981,unknown,unknown unknown
main aur mera haathi,Unknown,unknown,1981,unknown,unknown unknown
mangalsutra,Unknown,rekha,1981,unknown,rekha unknown
meena kumari ki amar kahani,Unknown,unknown,1981,unknown,unknown unknown
meri aawaz suno,S. V. Rajendra Singh,malini jeetendra parveen hema babi,1981,action,malini jeetendra parveen hema babi action
nai imarat,Unknown,unknown,1981,unknown,unknown unknown
nakhuda,Unknown,kiran kulbhushan swaroop kharbanda sampat raj,1981,unknown,kiran kulbhushan swaroop kharbanda sampat raj unknown
naram garam,Hrishikesh Mukherjee,swaroop hangal shatrughan palekar kiran sinha sampat amol a dutt utpal k vairahle,1981,comedy,swaroop hangal shatrughan palekar kiran sinha sampat amol a dutt utpal k vairahle comedy
nari,Unknown,unknown,1981,unknown,unknown unknown
naseeb,Manmohan Desai,khan shatrughan pran hema yusuf kapoor prem amrish bachchan chopra yashpal kader kim amitabh roy malini amjad sinha puri reena shakti rishi,1981,romance action comedy,khan shatrughan pran hema yusuf kapoor prem amrish bachchan chopra yashpal kader kim amitabh roy malini amjad sinha puri reena shakti rishi romance action comedy
paanch qaidi,Unknown,unknown,1981,unknown,unknown unknown
pehla adhyay,Unknown,unknown,1981,unknown,unknown unknown
plot no. 5,Unknown,unknown,1981,unknown,unknown unknown
poonam,Unknown,kapoor babbar dhillon shakti raj poonam,1981,unknown,kapoor babbar dhillon shakti raj poonam unknown
prem geet,Unknown,babbar raj anita,1981,unknown,babbar raj anita unknown
professor pyarelal,Unknown,vinod mehra dharmendra zeenat aman,1981,unknown,vinod mehra dharmendra zeenat aman unknown
pyaasa sawan,Unknown,moushumi jeetendra reena chatterjee roy,1981,unknown,moushumi jeetendra reena chatterjee roy unknown
raaz,Harmesh Malhotra,babbar raj helen,1981,drama,babbar raj helen drama
roohi,Unknown,unknown,1981,unknown,unknown unknown
rocky,Sunil Dutt,kapoor khan ranjeet munim amjad tina grover dutt reena sunil sanjay shakti gulshan roy,1981,unknown,kapoor khan ranjeet munim amjad tina grover dutt reena sunil sanjay shakti gulshan roy unknown
saajan ki saheli,Sawaan Kumar,vinod rajendra mehra rekha kumar nutan,1981,unknown,vinod rajendra mehra rekha kumar nutan unknown
sadgati,Satyajit Ray,puri smita patil om,1981,drama,puri smita patil om drama
sahhas,Unknown,chakraborty mithun,1981,unknown,chakraborty mithun unknown
sameera,Unknown,unknown,1981,unknown,unknown unknown
sannata,Unknown,unknown,1981,unknown,unknown unknown
sansani: the sensation,Unknown,unknown,1981,unknown,unknown unknown
shakka,Unknown,pinchoo kapoor simple jeetendra kapadia,1981,unknown,pinchoo kapoor simple jeetendra kapadia unknown
shama,Kader Khan,shabana kader khan azmi,1981,unknown,shabana kader khan azmi unknown
sharada,Unknown,rameshwari jeetendra,1981,unknown,rameshwari jeetendra unknown
shikari,Unknown,unknown,1981,unknown,unknown unknown
shradhanjali,Unknown,raakhee arun govil suresh oberoi gulzar,1981,unknown,raakhee arun govil suresh oberoi gulzar unknown
silsila,Yash Chopra,shashi kapoor jaya rekha bachchan kumar sanjeev amitabh,1981,drama romantic,shashi kapoor jaya rekha bachchan kumar sanjeev amitabh drama romantic
tajurba,Unknown,unknown,1981,unknown,unknown unknown
umrao jaan,Muzaffar Ali,shah rekha sheikh naseeruddin farooque,1981,drama,shah rekha sheikh naseeruddin farooque drama
"vasiqedars, the pensioners of avadh",Unknown,unknown,1981,unknown,unknown unknown
waqt ki deewar,Unknown,pran,1981,unknown,pran unknown
wardat,Ravikant Nagaich,chakraborty kiran kaajal iftekhar mithun,1981,thriller,chakraborty kiran kaajal iftekhar mithun thriller
woh phir nahin aaye,Unknown,unknown,1981,unknown,unknown unknown
yaraana,Rakesh Kumar,khan amjad kader bachchan amitabh singh neetu,1981,drama,khan amjad kader bachchan amitabh singh neetu drama
yeh rishta na tootay,Unknown,unknown,1981,unknown,unknown unknown
zamane ko dikhana hai,Nasir Hussain,kapoor khan padmini amjad kader kolhapure tariq rishi,1981,unknown,kapoor khan padmini amjad kader kolhapure tariq rishi unknown
aadat se majboor,Irfan Malik,khan nadeen naaz irfan falak malik sromona aldah,1982,family crime action drama,khan nadeen naaz irfan falak malik sromona aldah family crime action drama
hyatt,Irfan Malik,khan yadav naaz neeraj irfan mr falak malik nadeem sromona aldah vasai,1982,comedy,khan yadav naaz neeraj irfan mr falak malik nadeem sromona aldah vasai comedy
aadharshila,Ashok Ahuja,anita annu kapoor kanwar kapur pankaj,1982,unknown,anita annu kapoor kanwar kapur pankaj unknown
aagaman,Muzaffar Ali,anupam deepa suresh rani oberoi kher,1982,drama,anupam deepa suresh rani oberoi kher drama
aamne samne,Ashim S. Samanta,chakraborty tarun ghosh geeta aarti mithun,1982,action,chakraborty tarun ghosh geeta aarti mithun action
afsana do dilon ka,K.S. Sethumadhavan,hassan vidhubala shobha kamal,1982,unknown,hassan vidhubala shobha kamal unknown
angoor,Gulzar,moushumi verma kumar chatterjee sanjeev deven,1982,comedy,moushumi verma kumar chatterjee sanjeev deven comedy
anmol sitaare,Geeta Priya,bedi master rakesh deo ramesh baboo,1982,drama,bedi master rakesh deo ramesh baboo drama
anokha bandhan,Mehul Kumar,seema deo shabana azmi aruna irani,1982,drama,seema deo shabana azmi aruna irani drama
aparoopa,Jahnu Barua,gopi jagdeep karnad girish desai,1982,unknown,gopi jagdeep karnad girish desai unknown
apmaan,Ami Asthana,ami chatwal suresh irani manik asthana,1982,drama,ami chatwal suresh irani manik asthana drama
